time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1643632899.98683977 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 2.00000000 0.43750000 1.00000000 0.43750000 45.00000000 2.00000000 2.00000000 1.00000000 30.00000000 2.00000000 2.00000000 1.00000000 29.00000000 2.00000000 2.00000000 1.00000000 109.00000000 2.00000000 2.00000000 1.00000000 100.00000000 2.00000000 2.00000000 1.00000000 51.00000000 2.00000000 2.00000000 1.00000000 50.00000000
1643632900.05354166 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 2.00000000 0.43750000 1.00000000 0.43750000 44.00000000 2.00000000 2.00000000 1.00000000 32.00000000 2.00000000 2.00000000 1.00000000 27.00000000 2.00000000 2.00000000 1.00000000 110.00000000 2.00000000 2.00000000 1.00000000 104.00000000 2.00000000 2.00000000 1.00000000 52.00000000 2.00000000 2.00000000 1.00000000 51.00000000
1643632900.12022710 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 42.00000000 2.00000000 2.00000000 1.00000000 35.00000000 2.00000000 2.00000000 1.00000000 26.00000000 2.00000000 2.00000000 1.00000000 109.00000000 2.00000000 2.00000000 1.00000000 105.00000000 2.00000000 2.00000000 1.00000000 55.00000000 2.00000000 2.00000000 1.00000000 57.00000000
1643632900.18690491 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 40.00000000 2.00000000 2.00000000 1.00000000 37.00000000 2.00000000 2.00000000 1.00000000 24.00000000 2.00000000 2.00000000 1.00000000 103.00000000 2.00000000 2.00000000 1.00000000 105.00000000 2.00000000 2.00000000 1.00000000 58.00000000 2.00000000 2.00000000 1.00000000 57.00000000
1643632900.25362849 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 8.00000000 0.43750000 1.00000000 0.43750000 37.00000000 2.00000000 2.00000000 1.00000000 36.00000000 2.00000000 2.00000000 1.00000000 21.00000000 1.00000000 1.00000000 1.00000000 97.00000000 2.00000000 2.00000000 1.00000000 104.00000000 2.00000000 2.00000000 1.00000000 60.00000000 2.00000000 2.00000000 1.00000000 50.00000000
1643632900.32032251 3.00000000 3.00000000 0.89583333 0.90625000 1.00000000 0.93750000 8.00000000 2.00000000 2.00000000 1.00000000 9.00000000 0.43750000 1.00000000 0.43750000 36.00000000 2.00000000 2.00000000 1.00000000 34.00000000 2.00000000 2.00000000 1.00000000 20.00000000 1.00000000 1.00000000 1.00000000 92.00000000 2.00000000 2.00000000 1.00000000 103.00000000 2.00000000 2.00000000 1.00000000 62.00000000 2.00000000 2.00000000 1.00000000 44.00000000
1643632900.38699555 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 34.00000000 2.00000000 2.00000000 1.00000000 33.00000000 1.00000000 1.00000000 1.00000000 19.00000000 1.00000000 1.00000000 1.00000000 91.00000000 2.00000000 2.00000000 1.00000000 102.00000000 2.00000000 2.00000000 1.00000000 62.00000000 2.00000000 2.00000000 1.00000000 44.00000000
1643632900.45371008 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 33.00000000 2.00000000 2.00000000 1.00000000 31.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 90.00000000 2.00000000 2.00000000 1.00000000 102.00000000 2.00000000 2.00000000 1.00000000 63.00000000 2.00000000 2.00000000 1.00000000 43.00000000
1643632900.52039981 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 31.00000000 2.00000000 2.00000000 1.00000000 30.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 89.00000000 2.00000000 2.00000000 1.00000000 102.00000000 2.00000000 2.00000000 1.00000000 63.00000000 2.00000000 2.00000000 1.00000000 43.00000000
1643632900.58713078 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 31.00000000 2.00000000 2.00000000 1.00000000 27.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 90.00000000 2.00000000 2.00000000 1.00000000 102.00000000 2.00000000 2.00000000 1.00000000 64.00000000 2.00000000 2.00000000 1.00000000 41.00000000
